date,time,team1,team2,score1,score2,venue,game_status,result
04.12(금),18:30,롯데,키움,9,4,고척,-,롯데 승
04.12(금),18:30,KIA,한화,8,4,대전,-,KIA 승
04.13(토),14:00,KIA,한화,11,9,대전,-,KIA 승
04.13(토),17:00,LG,두산,5,2,잠실,-,LG 승
04.13(토),17:00,NC,삼성,4,3,대구,-,NC 승
04.13(토),17:00,SSG,KT,11,8,수원,-,SSG 승
04.13(토),17:00,롯데,키움,8,1,고척,-,롯데 승
04.14(일),14:00,LG,두산,9,5,잠실,-,LG 승
04.14(일),14:00,NC,삼성,12,5,대구,-,NC 승
04.14(일),14:00,SSG,KT,8,1,수원,-,SSG 승
04.14(일),14:00,롯데,키움,7,5,고척,-,롯데 승
04.14(일),14:00,KIA,한화,5,2,대전,-,KIA 승
04.16(화),18:30,롯데,LG,7,2,잠실,-,롯데 승
04.16(화),18:30,KIA,SSG,6,4,문학,-,KIA 승
04.16(화),18:30,두산,삼성,7,5,대구,-,두산 승
04.16(화),18:30,한화,NC,7,4,창원,-,한화 승
04.16(화),18:30,KT,키움,6,3,고척,-,KT 승
04.17(수),18:30,롯데,LG,6,5,잠실,-,롯데 승
04.17(수),18:30,KIA,SSG,11,3,문학,-,KIA 승
04.17(수),18:30,두산,삼성,9,2,대구,-,두산 승
04.17(수),18:30,한화,NC,4,3,창원,-,한화 승
04.17(수),18:30,KT,키움,6,4,고척,-,KT 승
04.18(목),18:30,롯데,LG,9,2,잠실,-,롯데 승
04.18(목),18:30,KIA,SSG,7,5,문학,-,KIA 승
04.18(목),18:30,두산,삼성,5,2,대구,-,두산 승
04.18(목),18:30,KT,키움,3,0,고척,-,KT 승
04.19(금),18:30,키움,두산,19,8,잠실,-,키움 승
04.19(금),18:30,LG,SSG,4,1,문학,-,LG 승
04.19(금),18:30,KT,롯데,4,3,사직,-,KT 승
04.19(금),18:30,NC,KIA,4,3,광주,-,NC 승
04.19(금),18:30,삼성,한화,6,1,대전,-,삼성 승
04.20(토),17:00,NC,KIA,9,2,광주,-,NC 승
04.20(토),17:00,삼성,한화,1,0,대전,-,삼성 승
04.21(일),14:00,NC,KIA,15,4,광주,-,NC 승
04.21(일),14:00,삼성,한화,5,3,대전,-,삼성 승
04.21(일),14:00,키움,두산,8,4,잠실,-,키움 승
04.21(일),14:00,LG,SSG,10,8,문학,-,LG 승
04.21(일),17:00,키움,두산,2,1,잠실,-,키움 승
04.21(일),17:00,KT,롯데,7,5,사직,-,KT 승
04.23(화),18:30,NC,두산,4,3,잠실,-,NC 승
04.23(화),18:30,LG,삼성,7,3,대구,-,LG 승
04.23(화),18:30,한화,KT,9,6,수원,-,한화 승
04.23(화),18:30,KIA,키움,5,2,고척,-,KIA 승
04.24(수),18:30,NC,두산,3,1,잠실,-,NC 승
04.24(수),18:30,SSG,롯데,12,7,사직,-,SSG 승
04.24(수),18:30,LG,삼성,6,0,대구,-,LG 승
04.24(수),18:30,한화,KT,7,1,수원,-,한화 승
04.24(수),18:30,KIA,키움,6,4,고척,-,KIA 승
04.25(목),18:30,NC,두산,7,3,잠실,-,NC 승
04.25(목),18:30,SSG,롯데,6,3,사직,-,SSG 승
04.25(목),18:30,LG,삼성,8,2,대구,-,LG 승
04.25(목),18:30,한화,KT,9,0,수원,-,한화 승
04.25(목),18:30,KIA,키움,13,2,고척,-,KIA 승
04.26(금),18:30,KIA,LG,7,6,잠실,-,KIA 승
04.26(금),18:30,KT,SSG,5,2,문학,-,KT 승
04.26(금),18:30,롯데,NC,4,0,창원,-,롯데 승
04.26(금),18:30,삼성,키움,3,0,고척,-,삼성 승
04.26(금),18:30,두산,한화,10,5,대전,-,두산 승
04.27(토),14:00,KIA,LG,6,3,잠실,-,KIA 승
04.27(토),17:00,KT,SSG,5,2,문학,-,KT 승
04.27(토),17:00,롯데,NC,2,0,창원,-,롯데 승
04.27(토),17:00,삼성,키움,11,0,고척,-,삼성 승
04.27(토),17:00,두산,한화,10,5,대전,-,두산 승
04.28(일),14:00,KIA,LG,10,7,잠실,-,KIA 승
04.28(일),14:00,KT,SSG,11,6,문학,-,KT 승
04.28(일),14:00,롯데,NC,5,3,창원,-,롯데 승
04.28(일),14:00,삼성,키움,11,6,고척,-,삼성 승
04.28(일),14:00,두산,한화,17,8,대전,-,두산 승
04.30(화),18:30,삼성,두산,4,0,잠실,-,삼성 승
04.30(화),18:30,키움,롯데,9,7,사직,-,키움 승
04.30(화),18:30,LG,NC,8,0,창원,-,LG 승
04.30(화),18:30,KT,KIA,11,4,광주,-,KT 승
04.30(화),18:30,SSG,한화,8,2,대전,-,SSG 승
