date,time,team1,team2,score1,score2,venue,game_status,result
04.02(화),18:30,NC,LG,7,5,잠실,-,NC 승
04.02(화),18:30,두산,SSG,13,6,문학,-,두산 승
04.02(화),18:30,키움,삼성,8,3,대구,-,키움 승
04.02(화),18:30,KIA,KT,10,6,수원,-,KIA 승
04.02(화),18:30,롯데,한화,1,0,대전,-,롯데 승
04.03(수),18:30,NC,LG,5,0,잠실,-,NC 승
04.03(수),18:30,두산,SSG,5,3,문학,-,두산 승
04.03(수),18:30,KIA,KT,5,1,수원,-,KIA 승
04.04(목),18:30,NC,LG,8,7,잠실,-,NC 승
04.04(목),18:30,두산,SSG,3,2,문학,-,두산 승
04.04(목),18:30,키움,삼성,10,1,대구,-,키움 승
04.04(목),18:30,KIA,KT,6,3,수원,-,KIA 승
04.04(목),18:30,롯데,한화,6,5,대전,-,롯데 승
04.05(금),18:30,KT,LG,8,7,잠실,-,KT 승
04.05(금),18:30,두산,롯데,4,3,사직,-,두산 승
04.05(금),18:30,SSG,NC,5,0,창원,-,SSG 승
04.05(금),18:30,삼성,KIA,5,2,광주,-,삼성 승
04.05(금),18:30,한화,키움,11,7,고척,-,한화 승
04.06(토),17:00,KT,LG,8,4,잠실,-,KT 승
04.06(토),17:00,두산,롯데,8,1,사직,-,두산 승
04.06(토),17:00,SSG,NC,16,3,창원,-,SSG 승
04.06(토),17:00,삼성,KIA,7,4,광주,-,삼성 승
04.06(토),17:00,한화,키움,7,6,고척,-,한화 승
04.07(일),14:00,KT,LG,16,7,잠실,-,KT 승
04.07(일),14:00,두산,롯데,7,6,사직,-,두산 승
04.07(일),14:00,SSG,NC,10,1,창원,-,SSG 승
04.07(일),14:00,삼성,KIA,7,3,광주,-,삼성 승
04.07(일),14:00,한화,키움,4,3,고척,-,한화 승
04.09(화),18:30,한화,두산,5,3,잠실,-,한화 승
04.09(화),18:30,키움,SSG,8,5,문학,-,키움 승
04.09(화),18:30,삼성,롯데,8,1,사직,-,삼성 승
04.09(화),18:30,KT,NC,6,1,창원,-,KT 승
04.09(화),18:30,LG,KIA,7,2,광주,-,LG 승
04.10(수),14:00,한화,두산,7,4,잠실,-,한화 승
04.10(수),14:00,키움,SSG,8,4,문학,-,키움 승
04.10(수),14:00,삼성,롯데,10,7,사직,-,삼성 승
04.10(수),14:00,KT,NC,3,2,창원,-,KT 승
04.10(수),14:00,LG,KIA,5,4,광주,-,LG 승
04.11(목),18:30,한화,두산,3,0,잠실,-,한화 승
04.11(목),18:30,키움,SSG,5,2,문학,-,키움 승
04.11(목),18:30,삼성,롯데,4,0,사직,-,삼성 승
04.11(목),18:30,KT,NC,8,7,창원,-,KT 승
04.11(목),18:30,LG,KIA,8,4,광주,-,LG 승
04.12(금),18:30,LG,두산,2,1,잠실,-,LG 승
04.12(금),18:30,NC,삼성,8,3,대구,-,NC 승
04.12(금),18:30,SSG,KT,8,3,수원,-,SSG 승
