date,time,team1,team2,score1,score2,venue,game_status,result
05.01(수),18:30,삼성,두산,9,2,잠실,-,삼성 승
05.01(수),18:30,키움,롯데,6,3,사직,-,키움 승
05.01(수),18:30,LG,NC,10,1,창원,-,LG 승
05.01(수),18:30,KT,KIA,9,1,광주,-,KT 승
05.01(수),18:30,SSG,한화,8,7,대전,-,SSG 승
05.02(목),18:30,삼성,두산,4,2,잠실,-,삼성 승
05.02(목),18:30,키움,롯데,6,5,사직,-,키움 승
05.02(목),18:30,LG,NC,5,4,창원,-,LG 승
05.02(목),18:30,KT,KIA,12,5,광주,-,KT 승
05.02(목),18:30,SSG,한화,4,3,대전,-,SSG 승
05.03(금),18:30,두산,LG,6,4,잠실,-,두산 승
05.03(금),18:30,NC,SSG,19,5,문학,-,NC 승
05.03(금),18:30,롯데,삼성,8,7,대구,-,롯데 승
05.03(금),18:30,키움,KT,2,1,수원,-,키움 승
05.03(금),18:30,한화,KIA,4,2,광주,-,한화 승
05.04(토),14:00,두산,LG,3,2,잠실,-,두산 승
05.04(토),17:00,NC,SSG,8,6,문학,-,NC 승
05.04(토),17:00,롯데,삼성,9,2,대구,-,롯데 승
05.04(토),17:00,키움,KT,6,2,수원,-,키움 승
05.04(토),17:00,한화,KIA,10,2,광주,-,한화 승
05.07(화),18:30,SSG,LG,4,2,잠실,-,SSG 승
05.07(화),18:30,두산,키움,13,4,고척,-,두산 승
05.08(수),18:30,SSG,LG,8,5,잠실,-,SSG 승
05.08(수),18:30,한화,롯데,6,1,사직,-,한화 승
05.08(수),18:30,KIA,삼성,4,2,대구,-,KIA 승
05.08(수),18:30,NC,KT,7,6,수원,-,NC 승
05.08(수),18:30,두산,키움,6,1,고척,-,두산 승
05.09(목),18:30,SSG,LG,3,1,잠실,-,SSG 승
05.09(목),18:30,한화,롯데,18,5,사직,-,한화 승
05.09(목),18:30,KIA,삼성,5,2,대구,-,KIA 승
05.09(목),18:30,NC,KT,6,2,수원,-,NC 승
05.09(목),18:30,두산,키움,5,2,고척,-,두산 승
05.10(금),18:30,KT,두산,7,3,잠실,-,KT 승
05.10(금),18:30,LG,롯데,9,1,사직,-,LG 승
05.10(금),18:30,삼성,NC,10,3,창원,-,삼성 승
05.10(금),18:30,SSG,KIA,4,2,광주,-,SSG 승
05.10(금),18:30,키움,한화,5,4,대전,-,키움 승
05.11(토),14:00,키움,한화,7,1,대전,-,키움 승
05.11(토),17:00,LG,롯데,2,1,사직,-,LG 승
05.11(토),17:00,삼성,NC,3,2,창원,-,삼성 승
05.12(일),14:00,LG,롯데,6,4,사직,-,LG 승
05.12(일),14:00,삼성,NC,7,2,창원,-,삼성 승
05.12(일),14:00,키움,한화,8,3,대전,-,키움 승
05.12(일),14:00,KT,두산,12,4,잠실,-,KT 승
05.12(일),14:00,SSG,KIA,3,2,광주,-,SSG 승
05.12(일),17:00,KT,두산,8,4,잠실,-,KT 승
05.12(일),17:00,SSG,KIA,10,6,광주,-,SSG 승
05.14(화),18:30,키움,LG,5,0,잠실,-,키움 승
05.14(화),18:30,삼성,SSG,9,2,문학,-,삼성 승
05.14(화),18:30,롯데,KT,7,4,수원,-,롯데 승
05.14(화),18:30,두산,KIA,8,5,광주,-,두산 승
05.15(수),14:00,두산,KIA,8,4,광주,-,두산 승
05.15(수),14:00,NC,한화,16,1,대전,-,NC 승
05.16(목),18:30,키움,LG,6,5,잠실,-,키움 승
05.16(목),18:30,삼성,SSG,12,4,문학,-,삼성 승
05.16(목),18:30,롯데,KT,2,0,수원,-,롯데 승
05.16(목),18:30,NC,한화,4,3,대전,-,NC 승
