22-07-2022,153.41000366210900,155.38999938964800,66675400,156.27999877929700,154.08999633789100,153.6214141845700
25-07-2022,152.27999877929700,154.00999450683600,53623900,155.0399932861330,152.9499969482420,152.48489379882800
26-07-2022,150.8000030517580,152.25999450683600,55138700,153.08999633789100,151.60000610351600,151.13900756835900
27-07-2022,152.16000366210900,152.5800018310550,78620700,157.3300018310550,156.7899932861330,156.31320190429700
28-07-2022,154.41000366210900,156.97999572753900,81378700,157.63999938964800,157.35000610351600,156.87152099609400
29-07-2022,159.5,161.24000549316400,101786900,163.6300048828130,162.50999450683600,162.01580810546900
01-08-2022,160.88999938964800,161.00999450683600,67829400,163.58999633789100,161.50999450683600,161.01885986328100
02-08-2022,159.6300048828130,160.10000610351600,59907000,162.41000366210900,160.00999450683600,159.52340698242200
03-08-2022,160.75,160.83999633789100,82507500,166.58999633789100,166.1300048828130,165.62481689453100
04-08-2022,164.42999267578100,166.00999450683600,55474100,167.19000244140600,165.80999755859400,165.3057861328130
05-08-2022,163.0,163.2100067138670,56697000,165.85000610351600,165.35000610351600,165.076171875
08-08-2022,164.1999969482420,166.3699951171880,60276900,167.80999755859400,164.8699951171880,164.59695434570300
09-08-2022,163.25,164.02000427246100,63135500,165.82000732421900,164.9199981689450,164.64686584472700
10-08-2022,166.89999389648400,167.67999267578100,70170500,169.33999633789100,169.24000549316400,168.95973205566400
11-08-2022,168.19000244140600,170.05999755859400,57149200,170.99000549316400,168.49000549316400,168.21096801757800
12-08-2022,169.39999389648400,169.82000732421900,68039400,172.1699981689450,172.10000610351600,171.8149871826170
15-08-2022,171.35000610351600,171.52000427246100,54091700,173.38999938964800,173.19000244140600,172.90318298339800
16-08-2022,171.66000366210900,172.77999877929700,56377100,173.7100067138670,173.02999877929700,172.74343872070300
17-08-2022,172.57000732421900,172.77000427246100,79542000,176.14999389648400,174.5500030517580,174.26092529296900
18-08-2022,173.1199951171880,173.75,62290100,174.89999389648400,174.14999389648400,173.86158752441400
19-08-2022,171.30999755859400,173.02999877929700,70346300,173.74000549316400,171.52000427246100,171.23594665527300
22-08-2022,167.13999938964800,169.69000244140600,69026800,169.86000061035200,167.57000732421900,167.29249572753900
23-08-2022,166.64999389648400,167.0800018310550,54147100,168.7100067138670,167.22999572753900,166.9530487060550
24-08-2022,166.25,167.32000732421900,53841500,168.11000061035200,167.52999877929700,167.25254821777300
25-08-2022,168.35000610351600,168.77999877929700,51218200,170.13999938964800,170.02999877929700,169.7484130859380
26-08-2022,163.55999755859400,170.57000732421900,78961000,171.0500030517580,163.6199951171880,163.34901428222700
29-08-2022,159.82000732421900,161.14999389648400,73314000,162.89999389648400,161.3800048828130,161.1127471923830
30-08-2022,157.72000122070300,162.1300048828130,77906200,162.55999755859400,158.91000366210900,158.64683532714800
31-08-2022,157.13999938964800,160.30999755859400,87991100,160.5800018310550,157.22000122070300,156.95962524414100
01-09-2022,154.6699981689450,156.63999938964800,74229900,158.4199981689450,157.9600067138670,157.6984100341800
02-09-2022,154.97000122070300,159.75,76957800,160.36000061035200,155.80999755859400,155.5519561767580
06-09-2022,153.69000244140600,156.47000122070300,73714800,157.08999633789100,154.52999877929700,154.27407836914100
07-09-2022,153.61000061035200,154.82000732421900,87449600,156.6699981689450,155.9600067138670,155.70172119140600
08-09-2022,152.67999267578100,154.63999938964800,84923800,156.36000061035200,154.4600067138670,154.20420837402300
09-09-2022,154.75,155.47000122070300,68028800,157.82000732421900,157.3699951171880,157.109375
12-09-2022,159.3000030517580,159.58999633789100,104956000,164.25999450683600,163.42999267578100,163.15933227539100
13-09-2022,153.3699951171880,159.89999389648400,122656600,160.5399932861330,153.83999633789100,153.58522033691400
14-09-2022,153.61000061035200,154.7899932861330,87965400,157.10000610351600,155.30999755859400,155.0527801513670
15-09-2022,151.3800048828130,154.64999389648400,90481100,155.24000549316400,152.3699951171880,152.11764526367200
16-09-2022,148.3699951171880,151.2100067138670,162278800,151.35000610351600,150.6999969482420,150.45042419433600
19-09-2022,149.10000610351600,149.30999755859400,81474200,154.55999755859400,154.47999572753900,154.22415161132800
20-09-2022,153.0800018310550,153.39999389648400,107689800,158.0800018310550,156.89999389648400,156.64015197753900
21-09-2022,153.60000610351600,157.33999633789100,101696800,158.74000549316400,153.72000122070300,153.46542358398400
22-09-2022,150.91000366210900,152.3800048828130,86652500,154.47000122070300,152.74000549316400,152.48704528808600
23-09-2022,148.55999755859400,151.19000244140600,96029900,151.47000122070300,150.42999267578100,150.1808624267580
26-09-2022,149.63999938964800,149.66000366210900,93339400,153.77000427246100,150.77000427246100,150.5203094482420
27-09-2022,149.9499969482420,152.74000549316400,84442700,154.72000122070300,151.75999450683600,151.5086669921880
28-09-2022,144.83999633789100,147.63999938964800,146691400,150.63999938964800,149.83999633789100,149.5918426513670
29-09-2022,140.67999267578100,146.10000610351600,128138200,146.72000122070300,142.47999572753900,142.24403381347700
30-09-2022,138.0,141.27999877929700,124925300,143.10000610351600,138.1999969482420,137.9711151123050
03-10-2022,137.69000244140600,138.2100067138670,114311700,143.07000732421900,142.4499969482420,142.21408081054700
04-10-2022,144.25999450683600,145.02999877929700,87830100,146.22000122070300,146.10000610351600,145.85804748535200
05-10-2022,143.00999450683600,144.07000732421900,79471000,147.3800048828130,146.39999389648400,146.15753173828100
06-10-2022,145.22000122070300,145.80999755859400,68402200,147.5399932861330,145.42999267578100,145.18914794921900
07-10-2022,139.4499969482420,142.5399932861330,85925600,143.10000610351600,140.08999633789100,139.8579864501950
10-10-2022,138.57000732421900,140.4199981689450,74899000,141.88999938964800,140.4199981689450,140.18743896484400
11-10-2022,138.22000122070300,139.89999389648400,77033700,141.35000610351600,138.97999572753900,138.7498321533200
12-10-2022,138.16000366210900,139.1300048828130,70433700,140.36000061035200,138.33999633789100,138.1108856201170
13-10-2022,134.3699951171880,134.99000549316400,113224000,143.58999633789100,142.99000549316400,142.75320434570300
14-10-2022,138.19000244140600,144.30999755859400,88598000,144.52000427246100,138.3800048828130,138.1508331298830
